Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Beer Skol 473ml,27/07/2024,34,3.39,2.71
Corn Flour Moinho Dagua 1kg,27/07/2024,17,3.99,2.5
Soda Coca Cola 2lt,27/07/2024,41,6.99,6.13
Common Bread kg,27/07/2024,52,8,4.41
Milk cream Quata 200gr,27/07/2024,9,2.95,2.23
Tomato Kg,27/07/2024,42,6.48,4
Potato kg,27/07/2024,82,4.49,3
Zucchini kg,27/07/2024,12,1.98,1.25
Cabbage kg,27/07/2024,7,1.89,1.25
Beetroot kg,27/07/2024,6,2.29,1.5
Yam kg,27/07/2024,10,7.49,3
Green Pepper kg,27/07/2024,5,2.99,2
Sweet potato kg,27/07/2024,13,3.39,2.5
Carrots kg,27/07/2024,17,2.99,1.8
Pumpkin kg,27/07/2024,52,2.59,1.85
Oranges kg,27/07/2024,40,2.79,1.75
Garlic Kg,27/07/2024,8,14.99,10
Onion Kg,27/07/2024,24,1.49,0.85
Apple Kg,27/07/2024,16,7.49,5.67
Banana kg,27/07/2024,32,1.99,1.25
Lettuce kg,27/07/2024,24,1.3,0.85
"Pork ""Pernil cut"" boneless kg",27/07/2024,22,24.3,18.09
Sugar Delta 5kg,27/07/2024,31,11.69,10.39
Ham kg,27/07/2024,2,21.99,15.49
Ground beef kg,27/07/2024,16,26.35,13.64
Generic Ham kg,27/07/2024,2,19.99,14.82
Bologna Confianca kg,27/07/2024,2,9.99,6.8
Red beans Bela Vista 1kg,27/07/2024,10,7.69,6.33
Red beans Eliza 1kg,27/07/2024,1,7.75,6.33
Spaguetti Somolao 1kg,27/07/2024,18,4.69,3.55
Sweet Bread kg,28/07/2024,13,8.99,3.37
Frozen Chicken kg,28/07/2024,22,7.22,5.99
Salsage kg,28/07/2024,8,9.79,6.97
Calabrezza Saussage kg,28/07/2024,5,22.29,15.91
Mozarella Cheese kg,28/07/2024,6,35.87,25.67
Dish Soap Ype Clear 500ml,28/07/2024,12,1.99,1.59
Dish Soap Ype Apple 500ml,28/07/2024,6,1.99,1.59
Dish soap Ype Neutro 500ml,28/07/2024,18,1.99,1.59
Rice Albaruska Pilao 5kg,28/07/2024,3,32.1,29.17
Powder juice Frech orange 10gr,28/07/2024,10,0.65,0.42
Tomato sauce Elefante 130g,28/07/2024,15,2.29,1.76
Coffee Mineiro 500gr,28/07/2024,17,5.85,4.5
Instant Pasta Nissin Chicken 85gr,28/07/2024,11,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,28/07/2024,22,0.99,0.48
Fries JR Fritas 300g,28/07/2024,7,7.99,6.1
Coffee Mantiqueira 500g,28/07/2024,15,7.59,5.82
Coffee Santa Barbara kg,28/07/2024,3,5.99,4.77
Corn Flour Mimoso 1kg,28/07/2024,35,2.89,2.2
Beer Clacial 473ml,28/07/2024,25,2.29,1.99
Salt Marlin 1kg,28/07/2024,21,1.15,0.76
Soy Oil Soya 900ml,28/07/2024,52,8.99,7.89
Wheat Flour Vilma 1kg,28/07/2024,27,3.75,2.9
"Beef ""Acem cut"" kg",28/07/2024,9,28.99,20.72
Bologna Bolonha kg,28/07/2024,2,16.99,10.19
Beer Skol 473ml,28/07/2024,24,3.39,2.71
Corn Flour Moinho Dagua 1kg,28/07/2024,14,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,28/07/2024,2,5.91,4.43
Soda Coca Cola 2lt,28/07/2024,34,6.99,6.13
Common Bread kg,28/07/2024,65,8,4.41
Milk cream Quata 200gr,28/07/2024,3,2.95,2.23
Tomato Kg,28/07/2024,33,6.48,4
Potato kg,28/07/2024,76,4.49,3
Zucchini kg,28/07/2024,6,1.98,1.25
Cabbage kg,28/07/2024,16,1.89,1.25
Beetroot kg,28/07/2024,5,2.29,1.5
Yam kg,28/07/2024,8,7.49,3
Green Pepper kg,28/07/2024,3,2.99,2
Sweet potato kg,28/07/2024,12,3.39,2.5
Carrots kg,28/07/2024,17,2.99,1.8
Pumpkin kg,28/07/2024,35,2.59,1.85
Oranges kg,28/07/2024,51,2.79,1.75
Garlic Kg,28/07/2024,10,14.99,10
Onion Kg,28/07/2024,23,1.49,0.85
Apple Kg,28/07/2024,23,7.49,5.67
Banana kg,28/07/2024,48,1.99,1.25
Lettuce kg,28/07/2024,2,1.3,0.85
"Pork ""Pernil cut"" boneless kg",28/07/2024,2,24.3,18.09
Sugar Delta 5kg,28/07/2024,15,11.69,10.39
Ham kg,28/07/2024,2,21.99,15.49
Ground beef kg,28/07/2024,12,26.35,13.64
Generic Ham kg,28/07/2024,5,19.92,14.82
Bologna Confianca kg,28/07/2024,5,9.99,6.8
Red beans Bela Vista 1kg,28/07/2024,30,7.69,6.33
Red beans Eliza 1kg,28/07/2024,3,7.75,6.33
Spaguetti Somolao 1kg,28/07/2024,20,4.69,3.55
Sweet Bread kg,29/07/2024,5,8.99,3.37
Frozen Chicken kg,29/07/2024,29,7.29,5.99
Salsage kg,29/07/2024,20,9.79,6.97
Calabrezza Saussage kg,29/07/2024,3,22.29,15.91
Mozarella Cheese kg,29/07/2024,5,35.78,25.67
Dish Soap Ype Clear 500ml,29/07/2024,5,1.99,1.59
Dish Soap Ype Apple 500ml,29/07/2024,21,1.99,1.59
Dish soap Ype Neutro 500ml,29/07/2024,12,1.98,1.59
Rice Albaruska Pilao 5kg,29/07/2024,10,32.05,29.17
Tomato sauce Elefante 130g,29/07/2024,8,2.29,1.76
Coffee Mineiro 500gr,29/07/2024,19,5.85,4.5
Instant Pasta Nissin Chicken 85gr,29/07/2024,4,1.74,1.23
Milky Drink Quatazinho Chocolate 200ml,29/07/2024,14,0.99,0.48
Fries JR Fritas 300g,29/07/2024,6,7.99,6.1
Coffee Mantiqueira 500g,29/07/2024,9,7.56,5.82
Coffee Santa Barbara kg,29/07/2024,11,5.99,4.77
Corn Flour Mimoso 1kg,29/07/2024,27,2.89,2.2
Beer Clacial 473ml,29/07/2024,45,2.29,1.99
Salt Marlin 1kg,29/07/2024,21,1.15,0.76
Soy Oil Soya 900ml,29/07/2024,45,8.98,7.89
Wheat Flour Vilma 1kg,29/07/2024,12,3.75,2.9
"Beef ""Acem cut"" kg",29/07/2024,14,28.93,20.72
Bologna Bolonha kg,29/07/2024,5,16.99,8.79
Beer Skol 473ml,29/07/2024,24,3.39,2.71
Corn Flour Moinho Dagua 1kg,29/07/2024,9,3.98,2.5
Soda Coca Cola 2lt reciclable bottle,29/07/2024,9,7.03,4.39
Soda Coca Cola 2lt,29/07/2024,13,6.99,6.13
Common Bread kg,29/07/2024,49,7.99,4.41
Tomato Kg,29/07/2024,31,5.65,3.54
Potato kg,29/07/2024,66,4.71,3.24
Zucchini kg,29/07/2024,8,1.98,1.25
Cabbage kg,29/07/2024,12,1.89,1.4
Beetroot kg,29/07/2024,5,2.29,1.5
Yam kg,29/07/2024,6,7.49,3
Green Pepper kg,29/07/2024,4,2.99,2
Sweet potato kg,29/07/2024,8,3.39,2.5
Carrots kg,29/07/2024,21,2.99,1.92
Pumpkin kg,29/07/2024,29,2.59,1.85
Oranges kg,29/07/2024,50,2.79,1.75
Garlic Kg,29/07/2024,11,14.98,10
Onion Kg,29/07/2024,24,1.49,0.85
Apple Kg,29/07/2024,12,7.65,5.81
Banana kg,29/07/2024,28,1.99,1.25
Lettuce kg,29/07/2024,11,1.3,0.85
"Pork ""Pernil cut"" boneless kg",29/07/2024,9,24.27,18.09
Sugar Delta 5kg,29/07/2024,21,11.69,10.39
Ham kg,29/07/2024,1,21.99,15.49
Ground beef kg,29/07/2024,2,26.35,13.64
Generic Ham kg,29/07/2024,2,19.74,14.82
Red beans Bela Vista 1kg,29/07/2024,9,7.66,6.33
Red beans Eliza 1kg,29/07/2024,6,7.75,6.33
Spaguetti Somolao 1kg,29/07/2024,9,4.69,3.55
Sweet Bread kg,30/07/2024,4,8.99,3.37
Frozen Chicken kg,30/07/2024,27,7.29,5.99
Salsage kg,30/07/2024,21,9.79,6.97
Calabrezza Saussage kg,30/07/2024,7,22.26,15.91
Mozarella Cheese kg,30/07/2024,4,35.99,25.67
Dish Soap Ype Clear 500ml,30/07/2024,11,1.99,1.59
Dish Soap Ype Apple 500ml,30/07/2024,5,1.99,1.59
Dish soap Ype Neutro 500ml,30/07/2024,20,1.99,1.59
Rice Albaruska Pilao 5kg,30/07/2024,9,32.1,29.17
Tomato sauce Elefante 130g,30/07/2024,18,2.29,1.76
Coffee Mineiro 500gr,30/07/2024,6,5.85,4.5
Instant Pasta Nissin Chicken 85gr,30/07/2024,5,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,30/07/2024,32,0.99,0.48
Fries JR Fritas 300g,30/07/2024,9,7.99,6.1
Coffee Mantiqueira 500g,30/07/2024,25,7.59,5.82
Coffee Santa Barbara kg,30/07/2024,4,5.99,4.77
Corn Flour Mimoso 1kg,30/07/2024,20,2.89,2.2
Beer Clacial 473ml,30/07/2024,45,2.29,1.99
Salt Marlin 1kg,30/07/2024,30,1.15,0.76
Soy Oil Soya 900ml,30/07/2024,61,8.99,7.89
Wheat Flour Vilma 1kg,30/07/2024,46,3.75,2.9
"Beef ""Acem cut"" kg",30/07/2024,9,28.99,20.72
Bologna Bolonha kg,30/07/2024,6,16.99,8.2
Beer Skol 473ml,30/07/2024,32,3.39,2.71
Corn Flour Moinho Dagua 1kg,30/07/2024,5,3.99,2.8
Soda Coca Cola 2lt reciclable bottle,30/07/2024,3,5.83,4.38
Soda Coca Cola 2lt,30/07/2024,7,6.99,6.13
Common Bread kg,30/07/2024,60,8,4.41
Tomato Kg,30/07/2024,52,3.75,2.5
Potato kg,30/07/2024,76,5.19,3.7
Zucchini kg,30/07/2024,12,1.98,1.25
Cabbage kg,30/07/2024,23,1.89,1.5
Beetroot kg,30/07/2024,10,2.29,1.5
Yam kg,30/07/2024,1,7.49,3
Green Pepper kg,30/07/2024,5,2.99,2
Sweet potato kg,30/07/2024,9,3.39,2.5
Carrots kg,30/07/2024,20,2.99,2.1
Pumpkin kg,30/07/2024,18,2.59,1.85
Oranges kg,30/07/2024,41,2.79,1.75
Garlic Kg,30/07/2024,6,14.99,10
Onion Kg,30/07/2024,29,1.49,0.85
Apple Kg,30/07/2024,15,7.99,6.11
Banana kg,30/07/2024,31,1.99,1.25
Lettuce kg,30/07/2024,13,1.3,0.85
"Pork ""Pernil cut"" boneless kg",30/07/2024,9,24.3,18.09
Sugar Delta 5kg,30/07/2024,13,11.69,10.39
Ham kg,30/07/2024,2,21.99,15.49
Ground beef kg,30/07/2024,2,26.35,13.64
Generic Ham kg,30/07/2024,1,20,14.82
Red beans Bela Vista 1kg,30/07/2024,20,7.69,6.33
Red beans Eliza 1kg,30/07/2024,7,7.75,6.33
Spaguetti Somolao 1kg,30/07/2024,14,4.69,3.55
Sweet Bread kg,31/07/2024,6,8.99,3.37
Frozen Chicken kg,31/07/2024,47,7.29,5.99
Salsage kg,31/07/2024,16,9.77,6.97
Calabrezza Saussage kg,31/07/2024,12,22.29,15.91
Mozarella Cheese kg,31/07/2024,4,35.99,25.67
Dish Soap Ype Clear 500ml,31/07/2024,35,1.99,1.59
Dish Soap Ype Apple 500ml,31/07/2024,8,1.99,1.59
Dish soap Ype Neutro 500ml,31/07/2024,11,1.99,1.59
Rice Albaruska Pilao 5kg,31/07/2024,8,31.99,29.17
Tomato sauce Elefante 130g,31/07/2024,12,2.29,1.76
Coffee Mineiro 500gr,31/07/2024,21,5.85,4.5
Instant Pasta Nissin Chicken 85gr,31/07/2024,10,1.77,1.23
Milky Drink Quatazinho Chocolate 200ml,31/07/2024,29,0.99,0.48
Fries JR Fritas 300g,31/07/2024,18,7.98,6.1
Coffee Mantiqueira 500g,31/07/2024,15,7.59,5.82
Coffee Santa Barbara kg,31/07/2024,24,5.99,4.77
Corn Flour Mimoso 1kg,31/07/2024,17,2.88,2.2
Beer Clacial 473ml,31/07/2024,48,2.29,1.99
Salt Marlin 1kg,31/07/2024,33,1.15,0.76
Soy Oil Soya 900ml,31/07/2024,106,8.99,7.89
Wheat Flour Vilma 1kg,31/07/2024,22,3.74,2.9
"Beef ""Acem cut"" kg",31/07/2024,9,28.99,20.72
Bologna Bolonha kg,31/07/2024,5,16.99,12.15
Beer Skol 473ml,31/07/2024,47,3.2,2.71
Corn Flour Moinho Dagua 1kg,31/07/2024,10,3.99,3
Soda Coca Cola 2lt reciclable bottle,31/07/2024,18,6.87,4.38
Soda Coca Cola 2lt,31/07/2024,22,6.99,6.13
Common Bread kg,31/07/2024,68,7.99,4.41
Milk cream Quata 200gr,31/07/2024,1,2.95,2.23
Tomato Kg,31/07/2024,55,3.75,2.5
Potato kg,31/07/2024,72,5.19,3.7
Zucchini kg,31/07/2024,7,1.98,1.25
Cabbage kg,31/07/2024,9,1.89,1.5
Beetroot kg,31/07/2024,4,2.29,1.5
Yam kg,31/07/2024,9,7.49,3
Green Pepper kg,31/07/2024,3,2.99,2
Sweet potato kg,31/07/2024,12,3.39,2.5
Carrots kg,31/07/2024,16,2.99,2.1
Pumpkin kg,31/07/2024,30,2.59,1.85
Oranges kg,31/07/2024,37,2.78,1.75
Garlic Kg,31/07/2024,10,14.99,10
Onion Kg,31/07/2024,49,1.49,0.85
Apple Kg,31/07/2024,14,7.97,6.11
Banana kg,31/07/2024,32,1.98,1.25
Lettuce kg,31/07/2024,6,1.3,0.85
"Pork ""Pernil cut"" boneless kg",31/07/2024,39,24.3,18.09
Sugar Delta 5kg,31/07/2024,26,11.68,10.39
Ham kg,31/07/2024,3,21.98,15.49
Ground beef kg,31/07/2024,13,26.35,13.64
Generic Ham kg,31/07/2024,3,20,14.82
Bologna Confianca kg,31/07/2024,2,9.99,6.8
Red beans Bela Vista 1kg,31/07/2024,17,7.69,6.33
Red beans Eliza 1kg,31/07/2024,18,7.75,6.33
Spaguetti Somolao 1kg,31/07/2024,16,4.68,3.55
Sweet Bread kg,01/08/2024,5,8.99,3.37
Frozen Chicken kg,01/08/2024,55,7.29,5.99
Salsage kg,01/08/2024,22,9.79,6.97
Calabrezza Saussage kg,01/08/2024,5,22.29,15.91
Mozarella Cheese kg,01/08/2024,9,35.99,25.02
Dish Soap Ype Clear 500ml,01/08/2024,18,1.99,1.59
Dish Soap Ype Apple 500ml,01/08/2024,19,1.99,1.59
Dish soap Ype Neutro 500ml,01/08/2024,13,1.99,1.59
Rice Albaruska Pilao 5kg,01/08/2024,15,32.1,29.17
Tomato sauce Elefante 130g,01/08/2024,15,2.29,1.76
Coffee Mineiro 500gr,01/08/2024,13,5.85,4.5
Instant Pasta Nissin Chicken 85gr,01/08/2024,12,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,01/08/2024,10,0.99,0.48
Fries JR Fritas 300g,01/08/2024,20,7.99,6.1
Coffee Mantiqueira 500g,01/08/2024,22,7.59,5.82
Coffee Santa Barbara kg,01/08/2024,12,5.99,4.77
Corn Flour Mimoso 1kg,01/08/2024,14,2.89,2.2
Beer Clacial 473ml,01/08/2024,65,2.29,1.99
Salt Marlin 1kg,01/08/2024,27,1.15,0.76
Soy Oil Soya 900ml,01/08/2024,87,8.99,7.89
Wheat Flour Vilma 1kg,01/08/2024,22,3.75,2.9
"Beef ""Acem cut"" kg",01/08/2024,15,30.1,21.49
Bologna Bolonha kg,01/08/2024,4,16.71,12.15
Beer Skol 473ml,01/08/2024,137,3.19,2.71
Corn Flour Moinho Dagua 1kg,01/08/2024,19,3.99,3
Soda Coca Cola 2lt reciclable bottle,01/08/2024,18,6.19,4.38
Soda Coca Cola 2lt,01/08/2024,43,6.99,6.13
Common Bread kg,01/08/2024,76,7.99,4.41
Milk cream Quata 200gr,01/08/2024,2,2.95,2.23
Tomato Kg,01/08/2024,72,3.75,2.5
Potato kg,01/08/2024,72,5.19,3.7
Zucchini kg,01/08/2024,2,1.98,1.25
Cabbage kg,01/08/2024,13,1.89,1.5
Beetroot kg,01/08/2024,12,2.29,1.5
Yam kg,01/08/2024,7,7.49,3
Green Pepper kg,01/08/2024,5,2.99,2
Sweet potato kg,01/08/2024,11,3.39,2.5
Carrots kg,01/08/2024,22,2.99,2.1
Pumpkin kg,01/08/2024,35,2.59,1.85
Oranges kg,01/08/2024,58,2.79,1.75
Garlic Kg,01/08/2024,8,14.99,10
Onion Kg,01/08/2024,39,1.49,0.85
Apple Kg,01/08/2024,12,7.99,6.11
Banana kg,01/08/2024,40,1.99,1.25
Lettuce kg,01/08/2024,17,1.3,0.85
"Pork ""Pernil cut"" boneless kg",01/08/2024,28,24.3,18.09
Sugar Delta 5kg,01/08/2024,23,11.69,10.39
Ham kg,01/08/2024,5,21.99,15.49
Ground beef kg,01/08/2024,31,26.35,14.04
Generic Ham kg,01/08/2024,6,19.99,14.82
Bologna Confianca kg,01/08/2024,5,9.99,6.2
Cake multiple tastes unity,01/08/2024,6,4.99,2.46
Red beans Bela Vista 1kg,01/08/2024,7,7.69,6.33
Red beans Eliza 1kg,01/08/2024,7,7.75,6.33
Spaguetti Somolao 1kg,01/08/2024,11,4.69,3.55
Sweet Bread kg,02/08/2024,1,9,3.37
Frozen Chicken kg,02/08/2024,45,7.28,5.99
Salsage kg,02/08/2024,12,9.79,6.97
Calabrezza Saussage kg,02/08/2024,4,22.29,15.91
Mozarella Cheese kg,02/08/2024,9,35.96,24.64
Dish Soap Ype Clear 500ml,02/08/2024,4,1.99,1.59
Dish Soap Ype Apple 500ml,02/08/2024,5,1.99,1.59
Dish soap Ype Neutro 500ml,02/08/2024,2,1.99,1.59
Rice Albaruska Pilao 5kg,02/08/2024,2,32.1,29.17
Powder juice Frech orange 10gr,02/08/2024,4,0.65,0.42
Tomato sauce Elefante 130g,02/08/2024,12,2.28,1.76
Coffee Mineiro 500gr,02/08/2024,4,5.85,4.5
Instant Pasta Nissin Chicken 85gr,02/08/2024,2,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,02/08/2024,6,0.99,0.48
Fries JR Fritas 300g,02/08/2024,8,7.99,6.1
Coffee Mantiqueira 500g,02/08/2024,6,7.59,5.82
Coffee Santa Barbara kg,02/08/2024,8,5.99,4.77
Corn Flour Mimoso 1kg,02/08/2024,10,2.89,2.2
Beer Clacial 473ml,02/08/2024,47,2.29,1.99
Salt Marlin 1kg,02/08/2024,9,1.15,0.76
Soy Oil Soya 900ml,02/08/2024,38,8.99,7.89
Wheat Flour Vilma 1kg,02/08/2024,3,3.75,2.9
"Beef ""Acem cut"" kg",02/08/2024,9,31.79,22.73
Bologna Bolonha kg,02/08/2024,1,16.99,12.15
Beer Skol 473ml,02/08/2024,35,3.16,2.71
Corn Flour Moinho Dagua 1kg,02/08/2024,7,3.99,3
Soda Coca Cola 2lt reciclable bottle,02/08/2024,8,6.38,4.38
Soda Coca Cola 2lt,02/08/2024,33,6.99,6.13
Common Bread kg,02/08/2024,47,7.99,4.41
Tomato Kg,02/08/2024,24,3.75,2.5
Potato kg,02/08/2024,36,5.19,3.7
Zucchini kg,02/08/2024,3,1.98,1.25
Cabbage kg,02/08/2024,4,1.89,1.5
Beetroot kg,02/08/2024,4,2.29,1.5
Yam kg,02/08/2024,1,7.49,3
Green Pepper kg,02/08/2024,7,2.99,2
Sweet potato kg,02/08/2024,5,3.39,2.5
Carrots kg,02/08/2024,16,2.99,2.1
Pumpkin kg,02/08/2024,6,2.59,1.85
Oranges kg,02/08/2024,15,2.79,1.75
Garlic Kg,02/08/2024,2,15,10
Onion Kg,02/08/2024,12,1.49,0.85
Apple Kg,02/08/2024,7,7.99,6.11
Banana kg,02/08/2024,11,1.99,1.25
"Pork ""Pernil cut"" boneless kg",02/08/2024,5,24.3,14.04
Sugar Delta 5kg,02/08/2024,5,11.69,10.39
Ham kg,02/08/2024,5,21.99,15.49
Ground beef kg,02/08/2024,23,26.31,14.04
Generic Ham kg,02/08/2024,9,19.97,14.82
Bologna Confianca kg,02/08/2024,2,10,4.99
Cake multiple tastes unity,02/08/2024,13,4.99,2.46
Red beans Bela Vista 1kg,02/08/2024,21,7.69,6.33
Red beans Eliza 1kg,02/08/2024,6,7.75,6.33
Spaguetti Somolao 1kg,02/08/2024,4,4.69,3.55
Sweet Bread kg,03/08/2024,4,8.99,3.37
Frozen Chicken kg,03/08/2024,19,7.28,5.99
Salsage kg,03/08/2024,10,9.79,6.97
Calabrezza Saussage kg,03/08/2024,2,22.29,15.91
Mozarella Cheese kg,03/08/2024,3,36,24.64
Dish Soap Ype Clear 500ml,03/08/2024,6,1.99,1.59
Dish Soap Ype Apple 500ml,03/08/2024,16,1.99,1.59
Dish soap Ype Neutro 500ml,03/08/2024,5,1.99,1.59
Rice Albaruska Pilao 5kg,03/08/2024,10,32.1,29.17
Powder juice Frech orange 10gr,03/08/2024,1,0.65,0.42
Tomato sauce Elefante 130g,03/08/2024,7,2.29,1.76
Coffee Mineiro 500gr,03/08/2024,13,5.85,4.5
Instant Pasta Nissin Chicken 85gr,03/08/2024,20,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,03/08/2024,13,0.99,0.48
Fries JR Fritas 300g,03/08/2024,4,7.98,6.1
Coffee Mantiqueira 500g,03/08/2024,20,7.58,5.82
Coffee Santa Barbara kg,03/08/2024,14,5.99,4.77
Corn Flour Mimoso 1kg,03/08/2024,36,2.89,2.2
Beer Clacial 473ml,03/08/2024,25,2.29,1.99
Salt Marlin 1kg,03/08/2024,30,1.15,0.76
Soy Oil Soya 900ml,03/08/2024,76,8.99,7.89
Wheat Flour Vilma 1kg,03/08/2024,40,3.75,2.9
"Beef ""Acem cut"" kg",03/08/2024,8,31.89,22.73
Bologna Bolonha kg,03/08/2024,3,17,12.15
Beer Skol 473ml,03/08/2024,14,3.19,2.71
Corn Flour Moinho Dagua 1kg,03/08/2024,8,3.99,3
Soda Coca Cola 2lt reciclable bottle,03/08/2024,5,6.63,4.38
Soda Coca Cola 2lt,03/08/2024,36,6.96,6.13
Common Bread kg,03/08/2024,62,8,4.41
Tomato Kg,03/08/2024,36,3.75,2.5
Potato kg,03/08/2024,63,5.19,3.7
Zucchini kg,03/08/2024,10,1.69,1.11
Cabbage kg,03/08/2024,9,2.49,1.66
Beetroot kg,03/08/2024,20,2.99,2
Yam kg,03/08/2024,5,7.49,4.76
Green Pepper kg,03/08/2024,2,2.99,2
Sweet potato kg,03/08/2024,21,3.39,2.5
Carrots kg,03/08/2024,34,2.99,2.1
Pumpkin kg,03/08/2024,36,2.59,1.85
Oranges kg,03/08/2024,60,2.79,1.75
Garlic Kg,03/08/2024,13,14.99,10
Onion Kg,03/08/2024,16,1.97,1.49
Apple Kg,03/08/2024,20,7.99,6.11
Banana kg,03/08/2024,36,1.99,1.25
Lettuce kg,03/08/2024,13,1.3,0.85
"Pork ""Pernil cut"" boneless kg",03/08/2024,5,24.3,14.04
Sugar Delta 5kg,03/08/2024,33,11.69,10.39
Ham kg,03/08/2024,3,21.99,15.49
Ground beef kg,03/08/2024,9,26.35,14.04
Generic Ham kg,03/08/2024,1,20,14.82
Bologna Confianca kg,03/08/2024,5,9.99,4.99
Cake multiple tastes unity,03/08/2024,4,4.99,2.46
Red beans Bela Vista 1kg,03/08/2024,22,7.69,6.33
Red beans Eliza 1kg,03/08/2024,7,7.75,6.33
Spaguetti Somolao 1kg,03/08/2024,18,4.69,3.55
Sweet Bread kg,04/08/2024,3,8.98,3.37
Frozen Chicken kg,04/08/2024,26,7.29,5.99
Salsage kg,04/08/2024,16,9.79,6.97
Mozarella Cheese kg,04/08/2024,5,35.99,24.64
Dish Soap Ype Clear 500ml,04/08/2024,11,1.99,1.59
Dish Soap Ype Apple 500ml,04/08/2024,5,1.99,1.59
Dish soap Ype Neutro 500ml,04/08/2024,9,1.99,1.59
Rice Albaruska Pilao 5kg,04/08/2024,3,32.1,29.17
Tomato sauce Elefante 130g,04/08/2024,9,2.29,1.76
Coffee Mineiro 500gr,04/08/2024,33,5.85,4.5
Instant Pasta Nissin Chicken 85gr,04/08/2024,6,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,04/08/2024,14,0.99,0.48
Fries JR Fritas 300g,04/08/2024,9,7.99,6.1
Coffee Mantiqueira 500g,04/08/2024,8,7.59,5.82
Coffee Santa Barbara kg,04/08/2024,3,5.99,4.77
Corn Flour Mimoso 1kg,04/08/2024,15,2.89,2.2
Beer Clacial 473ml,04/08/2024,38,2.29,1.99
Salt Marlin 1kg,04/08/2024,31,1.15,0.76
Soy Oil Soya 900ml,04/08/2024,50,8.99,7.89
Wheat Flour Vilma 1kg,04/08/2024,9,3.75,2.9
"Beef ""Acem cut"" kg",04/08/2024,5,31.89,22.73
Bologna Bolonha kg,04/08/2024,4,16.99,12.15
Beer Skol 473ml,04/08/2024,19,3.19,2.71
Corn Flour Moinho Dagua 1kg,04/08/2024,15,3.99,3
Soda Coca Cola 2lt reciclable bottle,04/08/2024,1,7.29,4.38
Soda Coca Cola 2lt,04/08/2024,10,6.99,6.13
Common Bread kg,04/08/2024,63,8,4.41
Tomato Kg,04/08/2024,33,3.75,2.5
Potato kg,04/08/2024,55,5.19,3.7
Zucchini kg,04/08/2024,4,1.69,1.11
Cabbage kg,04/08/2024,10,2.49,1.66
Beetroot kg,04/08/2024,5,2.99,2
Yam kg,04/08/2024,8,7.49,5
Green Pepper kg,04/08/2024,4,2.99,2
Sweet potato kg,04/08/2024,5,3.39,2.5
Carrots kg,04/08/2024,13,2.99,2.1
Pumpkin kg,04/08/2024,16,2.59,1.85
Oranges kg,04/08/2024,33,2.79,1.75
Garlic Kg,04/08/2024,7,14.99,10
Onion Kg,04/08/2024,10,2.99,2.15
Apple Kg,04/08/2024,12,7.99,6.11
Banana kg,04/08/2024,26,1.99,1.25
Lettuce kg,04/08/2024,11,1.3,0.85
"Pork ""Pernil cut"" boneless kg",04/08/2024,2,24.3,15.18
Sugar Delta 5kg,04/08/2024,20,11.69,10.39
Ham kg,04/08/2024,0,21.96,15.49
Ground beef kg,04/08/2024,8,26.35,13.94
Generic Ham kg,04/08/2024,4,20,14.82
Bologna Confianca kg,04/08/2024,4,9.99,4.99
Red beans Bela Vista 1kg,04/08/2024,22,7.69,6.33
Red beans Eliza 1kg,04/08/2024,14,7.75,6.33
Spaguetti Somolao 1kg,04/08/2024,8,4.69,3.55
Sweet Bread kg,05/08/2024,3,8.99,3.97
Frozen Chicken kg,05/08/2024,40,7.29,5.99
Salsage kg,05/08/2024,16,9.79,6.97
Calabrezza Saussage kg,05/08/2024,1,22.28,15.91
Mozarella Cheese kg,05/08/2024,5,35.99,24.64
Dish Soap Ype Clear 500ml,05/08/2024,28,1.99,1.59
Dish Soap Ype Apple 500ml,05/08/2024,8,1.99,1.59
Dish soap Ype Neutro 500ml,05/08/2024,9,1.99,1.59
Rice Albaruska Pilao 5kg,05/08/2024,14,32.06,29.17
Tomato sauce Elefante 130g,05/08/2024,11,2.29,1.76
Coffee Mineiro 500gr,05/08/2024,20,5.84,4.5
Instant Pasta Nissin Chicken 85gr,05/08/2024,4,1.79,1.23
Milky Drink Quatazinho Chocolate 200ml,05/08/2024,10,0.99,0.48
Fries JR Fritas 300g,05/08/2024,10,7.98,6.1
Coffee Mantiqueira 500g,05/08/2024,25,7.59,5.82
Coffee Santa Barbara kg,05/08/2024,17,5.99,4.77
Corn Flour Mimoso 1kg,05/08/2024,31,2.89,2.2
Beer Clacial 473ml,05/08/2024,23,2.29,1.99
Salt Marlin 1kg,05/08/2024,36,1.15,0.76
Soy Oil Soya 900ml,05/08/2024,86,8.99,7.89
Wheat Flour Vilma 1kg,05/08/2024,29,3.75,2.9
"Beef ""Acem cut"" kg",05/08/2024,15,31.87,22.73
Bologna Bolonha kg,05/08/2024,6,16.98,12.15
Beer Skol 473ml,05/08/2024,9,3.19,2.71
Corn Flour Moinho Dagua 1kg,05/08/2024,28,3.99,3
